2022,City,State[c],2022,2020,Change,2020 land area,,2020 population density,,Location,Latitude,Longitude,,
1,New York[d],New York,8335897,8804190,−5.32%,300.5 sq mi,778.3 km2,"29,298/sq mi","11,312/km2",40.66°N 73.94°W,40.66,73.94,,
2,Los Angeles,California,3822238,3898747,−1.96%,469.5 sq mi,"1,216.0 km2","8,304/sq mi","3,206/km2",34.02°N 118.41°W,34.02,118.41,,
3,Chicago,Illinois,2665039,2746388,−2.96%,227.7 sq mi,589.7 km2,"12,061/sq mi","4,657/km2",41.84°N 87.68°W,41.84,87.68,,
4,Houston,Texas,2302878,2304580,−0.07%,640.4 sq mi,"1,658.6 km2","3,599/sq mi","1,390/km2",29.79°N 95.39°W,29.79,95.39,,
5,Phoenix,Arizona,1644409,1608139,0.0226,518.0 sq mi,"1,341.6 km2","3,105/sq mi","1,199/km2",33.57°N 112.09°W,33.57,112.09,,
6,Philadelphia[e],Pennsylvania,1567258,1603797,−2.28%,134.4 sq mi,348.1 km2,"11,933/sq mi","4,607/km2",40.01°N 75.13°W,40.01,75.13,,
7,San Antonio,Texas,1472909,1434625,0.0267,498.8 sq mi,"1,291.9 km2","2,876/sq mi","1,110/km2",29.46°N 98.52°W,29.46,98.52,,
8,San Diego,California,1381162,1386932,−0.42%,325.9 sq mi,844.1 km2,"4,256/sq mi","1,643/km2",32.81°N 117.14°W,32.7178,117.16,,
9,Dallas,Texas,1299544,1304379,−0.37%,339.6 sq mi,879.6 km2,"3,841/sq mi","1,483/km2",32.79°N 96.77°W,32.79,96.77,,
10,Austin,Texas,974447,961855,0.0131,319.9 sq mi,828.5 km2,"3,007/sq mi","1,161/km2",30.30°N 97.75°W,30.3,97.75,,
11,Jacksonville[f],Florida,971319,949611,0.0229,747.3 sq mi,"1,935.5 km2","1,271/sq mi",491/km2,30.34°N 81.66°W,30.34,81.66,,
12,San Jose,California,971233,1013240,−4.15%,178.3 sq mi,461.8 km2,"5,683/sq mi","2,194/km2",37.30°N 121.81°W,37.34038,121.89,,
13,Fort Worth,Texas,956709,918915,0.0411,347.3 sq mi,899.5 km2,"2,646/sq mi","1,022/km2",32.78°N 97.35°W,32.78,97.35,,
14,Columbus,Ohio,907971,905748,0.0025,220.0 sq mi,569.8 km2,"4,117/sq mi","1,590/km2",39.99°N 82.99°W,39.99,82.99,,
15,Charlotte,North Carolina,897720,874579,0.0265,308.3 sq mi,798.5 km2,"2,837/sq mi","1,095/km2",35.21°N 80.83°W,35.21,80.83,,
16,Indianapolis[g],Indiana,880621,887642,−0.79%,361.6 sq mi,936.5 km2,"2,455/sq mi",948/km2,39.78°N 86.15°W,39.78,86.15,,
17,San Francisco[h],California,808437,873965,−7.50%,46.9 sq mi,121.5 km2,"18,635/sq mi","7,195/km2",37.73°N 123.03°W,37.78,122.43027,,
18,Seattle,Washington,749256,737015,0.0166,83.8 sq mi,217.0 km2,"8,795/sq mi","3,396/km2",47.62°N 122.35°W,47.6211,122.3244,,
19,Denver[i],Colorado,713252,715522,−0.32%,153.1 sq mi,396.5 km2,"4,674/sq mi","1,805/km2",39.76°N 104.88°W,39.76,104.88,,
20,Oklahoma City,Oklahoma,694800,681054,0.0202,606.2 sq mi,"1,570.1 km2","1,123/sq mi",434/km2,35.47°N 97.51°W,35.47,97.51,,
21,Nashville[j],Tennessee,683622,689447,−0.84%,475.8 sq mi,"1,232.3 km2","1,449/sq mi",559/km2,36.17°N 86.79°W,36.17,86.79,,
22,El Paso,Texas,677456,678815,−0.20%,258.4 sq mi,669.3 km2,"2,627/sq mi","1,014/km2",31.85°N 106.43°W,31.85,106.43,,
23,Washington[k],District of Columbia,671803,689545,−2.57%,61.1 sq mi,158.2 km2,"11,286/sq mi","4,358/km2",38.90°N 77.02°W,38.9,77.02,,
24,Las Vegas,Nevada,656274,641903,0.0224,141.8 sq mi,367.3 km2,"4,527/sq mi","1,748/km2",36.23°N 115.26°W,36.23,115.26,,
25,Boston,Massachusetts,650706,675647,−3.69%,48.3 sq mi,125.1 km2,"13,989/sq mi","5,401/km2",42.34°N 71.02°W,42.34,71.02,,
26,Portland,Oregon,635067,652503,−2.67%,133.5 sq mi,345.8 km2,"4,888/sq mi","1,887/km2",45.54°N 122.65°W,45.5371,122.65,,
27,Louisville[l],Kentucky,624444,633045,−1.36%,324.9 sq mi,841.5 km2,"1,948/sq mi",752/km2,38.17°N 85.65°W,38.17,85.65,,
28,Memphis,Tennessee,621056,633104,−1.90%,297.0 sq mi,769.2 km2,"2,132/sq mi",823/km2,35.11°N 89.97°W,35.11,89.97,,
29,Detroit,Michigan,620376,639111,−2.93%,138.7 sq mi,359.2 km2,"4,608/sq mi","1,779/km2",42.38°N 83.10°W,42.38,83.1,,
30,Baltimore[m],Maryland,569931,585708,−2.69%,80.9 sq mi,209.5 km2,"7,240/sq mi","2,800/km2",39.30°N 76.61°W,39.3,76.61,,
31,Milwaukee,Wisconsin,563305,577222,−2.41%,96.2 sq mi,249.2 km2,"6,000/sq mi","2,300/km2",43.06°N 87.97°W,43.06,87.97,,
32,Albuquerque,New Mexico,561008,564559,−0.63%,187.3 sq mi,485.1 km2,"3,014/sq mi","1,164/km2",35.10°N 106.65°W,35.1,106.65,,
33,Tucson,Arizona,546574,542629,0.0073,241.0 sq mi,624.2 km2,"2,252/sq mi",870/km2,32.15°N 110.87°W,32.15,110.87,,
34,Fresno,California,545567,542107,0.0064,115.2 sq mi,298.4 km2,"4,706/sq mi","1,817/km2",36.78°N 119.79°W,36.78,119.79,,
35,Sacramento,California,528001,524943,0.0058,98.6 sq mi,255.4 km2,"5,324/sq mi","2,056/km2",38.57°N 121.47°W,38.57,121.47,,
36,Mesa,Arizona,512498,504258,0.0163,138.7 sq mi,359.2 km2,"3,636/sq mi","1,404/km2",33.40°N 111.72°W,33.4,111.72,,
37,Kansas City,Missouri,509297,508090,0.0024,314.7 sq mi,815.1 km2,"1,615/sq mi",624/km2,39.12°N 94.56°W,39.12,94.56,,
38,Atlanta,Georgia,499127,498715,0.0008,135.3 sq mi,350.4 km2,"3,686/sq mi","1,423/km2",33.76°N 84.42°W,33.76,84.42,,
39,Colorado Springs,Colorado,486248,478961,0.0152,195.4 sq mi,506.1 km2,"2,451/sq mi",946/km2,38.87°N 104.76°W,38.87,104.76,,
40,Omaha,Nebraska,485153,486051,−0.18%,141.6 sq mi,366.7 km2,"3,433/sq mi","1,325/km2",41.26°N 96.05°W,41.26,96.05,,
41,Raleigh,North Carolina,476587,467665,0.0191,147.1 sq mi,381.0 km2,"3,179/sq mi","1,227/km2",35.83°N 78.64°W,35.83,78.64,,
42,Virginia Beach[m],Virginia,455618,459470,−0.84%,244.7 sq mi,633.8 km2,"1,878/sq mi",725/km2,36.78°N 76.03°W,36.78,76.03,,
43,Long Beach,California,451307,466742,−3.31%,50.7 sq mi,131.3 km2,"9,206/sq mi","3,554/km2",33.78°N 118.17°W,33.78,118.17,,
44,Miami,Florida,449514,442241,0.0164,36.0 sq mi,93.2 km2,"12,284/sq mi","4,743/km2",25.78°N 80.21°W,25.78,80.21,,
45,Oakland,California,430553,440646,−2.29%,55.9 sq mi,144.8 km2,"7,883/sq mi","3,044/km2",37.77°N 122.23°W,37.77,122.23,,
46,Minneapolis,Minnesota,425096,429954,−1.13%,54.0 sq mi,139.9 km2,"7,962/sq mi","3,074/km2",44.96°N 93.27°W,44.96,93.27,,
47,Tulsa,Oklahoma,411867,413066,−0.29%,197.5 sq mi,511.5 km2,"2,091/sq mi",807/km2,36.13°N 95.90°W,36.13,95.9,,
48,Bakersfield,California,410647,403455,0.0178,149.8 sq mi,388.0 km2,"2,693/sq mi","1,040/km2",35.35°N 119.04°W,35.35,119.04,,
49,Tampa,Florida,398173,384959,0.0343,114.0 sq mi,295.3 km2,"3,377/sq mi","1,304/km2",27.97°N 82.47°W,27.97,82.47,,
50,Wichita,Kansas,396192,397532,−0.34%,162.0 sq mi,419.6 km2,"2,454/sq mi",947/km2,37.69°N 97.35°W,37.69,97.35,,
